2021-03-30 10:30:42.995 DEBUG 5116 --- [           main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: unknown
2021-03-30 10:30:43.068  INFO 5116 --- [           main] c.chicken.review.ReviewApplicationTests  : Starting ReviewApplicationTests on DESKTOP-3BCCQ5K with PID 5116 (started by ryu in C:\Users\ryu\Desktop\review)
2021-03-30 10:30:43.068 DEBUG 5116 --- [           main] c.chicken.review.ReviewApplicationTests  : Running with Spring Boot v2.1.9.RELEASE, Spring v5.1.10.RELEASE
2021-03-30 10:30:43.068  INFO 5116 --- [           main] c.chicken.review.ReviewApplicationTests  : No active profile set, falling back to default profiles: default
2021-03-30 10:30:43.069 DEBUG 5116 --- [           main] o.s.boot.SpringApplication               : Loading source class com.chicken.review.ReviewApplication
2021-03-30 10:30:43.084 DEBUG 5116 --- [           main] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/C:/Users/ryu/Desktop/review/target/classes/application.properties' (classpath:/application.properties)
2021-03-30 10:30:43.085 DEBUG 5116 --- [           main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2755d705
2021-03-30 10:30:43.096 DEBUG 5116 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2021-03-30 10:30:43.105 DEBUG 5116 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2021-03-30 10:30:43.141 DEBUG 5116 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ryu\Desktop\review\target\classes\com\chicken\review\config\ErrorConfiguration.class]
2021-03-30 10:30:43.147 DEBUG 5116 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ryu\Desktop\review\target\classes\com\chicken\review\config\StaticResourceConfiguration.class]
2021-03-30 10:30:43.153 DEBUG 5116 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ryu\Desktop\review\target\classes\com\chicken\review\config\TilesConfig.class]
2021-03-30 10:30:43.162 DEBUG 5116 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ryu\Desktop\review\target\classes\com\chicken\review\config\WebSecurityConfig.class]
2021-03-30 10:30:43.170 DEBUG 5116 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ryu\Desktop\review\target\classes\com\chicken\review\login\controller\UserController.class]
2021-03-30 10:30:43.246 DEBUG 5116 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.messages.basename' in PropertySource 'configurationProperties' with value of type String
2021-03-30 10:30:43.285 DEBUG 5116 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.prefix' in PropertySource 'configurationProperties' with value of type String
2021-03-30 10:30:43.286 DEBUG 5116 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.suffix' in PropertySource 'configurationProperties' with value of type String
2021-03-30 10:30:43.303 DEBUG 5116 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.resources.chain.enabled' in PropertySource 'configurationProperties' with value of type String
2021-03-30 10:30:43.319 DEBUG 5116 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2021-03-30 10:30:43.332 DEBUG 5116 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2021-03-30 10:30:43.369 DEBUG 5116 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.aop.proxy-target-class' in PropertySource 'configurationProperties' with value of type String
